Agency Name,State Name [District] Latest available year,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,State Agency ID [District] 2016-17
RINGWOOD SCHOOL DISTRICT,New Jersey,Ringwood School District,3413860,NJ-314400
RIVER DELL REGIONAL SCHOOL DISTRICT,New Jersey,River Dell Regional School District,3412260,NJ-034405
RIVER EDGE SCHOOL DISTRICT,New Jersey,River Edge School District,3413890,NJ-034410
RIVER VALE PUBLIC SCHOOL DISTRICT,New Jersey,River Vale Public School District,3413950,NJ-034430
RIVERBANK CHARTER SCHOOL OF EXCELLENCE,New Jersey,Riverbank Charter School of Excellence,3400731,NJ-806026
RIVERDALE SCHOOL DISTRICT,New Jersey,Riverdale School District,3413980,NJ-274440
RIVERSIDE TOWNSHIP SCHOOL DISTRICT,New Jersey,RIVERSIDE TOWNSHIP SCHOOL DISTRICT,3414010,NJ-054450
RIVERTON SCHOOL DISTRICT,New Jersey,Riverton School District,3414040,NJ-054460
ROBBINSVILLE PUBLIC SCHOOLS,New Jersey,Robbinsville Public Schools,3417100,NJ-215510
ROBERT TREAT ACADEMY CHARTER SCHOOL,New Jersey,Robert Treat Academy Charter School,3400025,NJ-807730
ROCHELLE PARK SCHOOL DISTRICT,New Jersey,Rochelle Park School District,3414070,NJ-034470
ROCKAWAY BOROUGH SCHOOL DISTRICT,New Jersey,Rockaway Borough School District,3414100,NJ-274480
ROCKAWAY TOWNSHIP SCHOOL DISTRICT,New Jersey,Rockaway Township School District,3414130,NJ-274490
ROOSEVELT BOROUGH PUBLIC SCHOOL DISTRICT,New Jersey,ROOSEVELT PUBLIC SCHOOL DISTRICT,3414220,NJ-254520
ROSELAND SCHOOL DISTRICT,New Jersey,Roseland School District,3414250,NJ-134530
ROSELLE PARK PUBLIC SCHOOL DISTRICT,New Jersey,Roselle Park Board of Education,3414310,NJ-394550
ROSELLE PUBLIC SCHOOLS,New Jersey,ROSELLE PUBLIC SCHOOLS,3414280,NJ-394540
ROSEVILLE COMMUNITY CHARTER SCHOOL,New Jersey,ROSEVILLE COMMUNITY CHARTER SCHOOL,3400755,NJ-806058
ROXBURY TOWNSHIP SCHOOL DISTRICT,New Jersey,Roxbury Township School District,3414340,NJ-274560
RUMSON BOROUGH SCHOOL DISTRICT,New Jersey,Rumson Borough School District,3414370,NJ-254570
RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL DISTRICT,New Jersey,RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL SCHOOL DISTRICT,3414400,NJ-254580
RUNNEMEDE PUBLIC SCHOOL DISTRICT,New Jersey,RUNNEMEDE PUBLIC SCHOOL DISTRICT,3414430,NJ-074590
RUTHERFORD SCHOOL DISTRICT,New Jersey,Rutherford School District,3414460,NJ-034600
SADDLE BROOK SCHOOL DISTRICT,New Jersey,SADDLE BROOK SCHOOL DISTRICT,3414490,NJ-034610
SADDLE RIVER SCHOOL DISTRICT,New Jersey,SADDLE RIVER SCHOOL DISTRICT,3414520,NJ-034620
SALEM CITY SCHOOL DISTRICT,New Jersey,SALEM CITY SCHOOL DISTRICT,3414550,NJ-334630
SALEM COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,Salem County Special Services School District,3480361,NJ-334635
SALEM COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,Salem County Vocational Technical School District,3414580,NJ-334640
SANDYSTON-WALPACK CONSOLIDATED SCHOOL DISTRICT,New Jersey,Sandyston-Walpack Consolidated School District,3414610,NJ-374650
SAYREVILLE SCHOOL DISTRICT,New Jersey,Sayreville School District,3414640,NJ-234660
SCHOOL DISTRICT OF THE CHATHAMS,New Jersey,The School District of the Chathams,3400004,NJ-270785
SCOTCH PLAINS-FANWOOD SCHOOL DISTRICT,New Jersey,Scotch Plains-Fanwood School District,3414670,NJ-394670
SEA GIRT BOROUGH SCHOOL DISTRICT,New Jersey,Sea Girt Borough School District,3414730,NJ-254690
SEASIDE HEIGHTS SCHOOL DISTRICT,New Jersey,Seaside Heights School District,3414790,NJ-294710
SECAUCUS SCHOOL DISTRICT,New Jersey,SECAUCUS BOARD OF EDUCATION,3414850,NJ-174730
SHAMONG TOWNSHIP SCHOOL DISTRICT,New Jersey,Shamong Township School District,3414880,NJ-054740
SHORE REGIONAL HIGH SCHOOL DISTRICT,New Jersey,SHORE REGIONAL HIGH SCHOOL DISTRICT,3414940,NJ-254760
SHREWSBURY BOROUGH SCHOOL DISTRICT,New Jersey,SHREWSBURY BOROUGH SCHOOL DISTRICT,3414970,NJ-254770
SOARAING HEIGHTS CHARTER SCHOOL,New Jersey,Soaraing Heights Charter School,3400036,NJ-807830
SOMERDALE SCHOOL DISTRICT,New Jersey,SOMERDALE SCHOOL DISTRICT,3415000,NJ-074790
SOMERS POINT SCHOOL DISTRICT,New Jersey,SOMERS POINT SCHOOL DISTRICT,3415030,NJ-014800
SOMERSET COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,Somerset County Educational Services Commission,3480280,NJ-354805
SOMERSET COUNTY VOCATIONAL AND TECHNICAL SCHOOL DISTRICT,New Jersey,SOMERSET COUNTY VOCATIONAL AND TECHNICAL SCHOOLS,3415060,NJ-354810
SOMERSET HILLS REGIONAL SCHOOL DISTRICT,New Jersey,Somerset Hills Regional School District,3400009,NJ-354815
SOMERVILLE PUBLIC SCHOOL DISTRICT,New Jersey,SOMERVILLE PUBLIC SCHOOL DISTRICT,3415090,NJ-354820
SOUTH  BERGEN JOINTURE COMMISSION SCHOOL DISTRICT,New Jersey,South  Bergen Jointure Commission School District,3400007,NJ-034845
SOUTH AMBOY SCHOOL DISTRICT,New Jersey,South Amboy School District,3415120,NJ-234830
SOUTH BOUND BROOK PUBLIC SCHOOLS,New Jersey,South Bound Brook Public Schools,3415180,NJ-354850
SOUTH BRUNSWICK SCHOOL DISTRICT,New Jersey,South Brunswick School District,3415210,NJ-234860
SOUTH HACKENSACK SCHOOL DISTRICT,New Jersey,South Hackensack School District,3415240,NJ-034870
SOUTH HARRISON TOWNSHIP SCHOOL DISTRICT,New Jersey,SOUTH HARRISON TOWNSHIP SCHOOL DISTRICT,3415270,NJ-154880
SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,NEW JERSEY,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,3400769,NJ-191376
SOUTH ORANGE-MAPLEWOOD SCHOOL DISTRICT,New Jersey,South Orange-Maplewood School District,3415330,NJ-134900
SOUTH PLAINFIELD SCHOOL DISTRICT,New Jersey,South Plainfield School District,3415360,NJ-234910
SOUTH RIVER PUBLIC SCHOOL DISTRICT,New Jersey,South River Public School District,3415390,NJ-234920
SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Southampton Township School District,3415420,NJ-054930
SOUTHERN REGIONAL SCHOOL DISTRICT,New Jersey,Southern Regional School District,3415480,NJ-294950
SPARTA TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,SPARTA TOWNSHIP PUBLIC SCHOOL DISTRICT,3415510,NJ-374960
SPOTSWOOD PUBLIC SCHOOL DISTRICT,New Jersey,Spotswood Public School District,3415540,NJ-234970
SPRING LAKE BOROUGH,New Jersey,Spring Lake Borough,3415570,NJ-254980
SPRING LAKE HEIGHTS SCHOOL DISTRICT,New Jersey,SPRING LAKE HEIGHTS SCHOOL DISTRICT,3415600,NJ-254990
SPRINGFIELD PUBLIC SCHOOL DISTRICT,New Jersey,Springfield Public School District,3415630,NJ-395000
SPRINGFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,Springfield Township School District,3415660,NJ-055010
STAFFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,Stafford Township School District,3415690,NJ-295020
STANHOPE SCHOOL DISTRICT,New Jersey,Stanhope School District,3415720,NJ-375030
STERLING REGIONAL SCHOOL DISTRICT,New Jersey,Sterling Regional School District,3402880,NJ-075035
STILLWATER TOWNSHIP SCHOOL DISTRICT,New Jersey,STILLWATER TOWNSHIP SCHOOL DISTRICT,3415750,NJ-375040
STONE HARBOR SCHOOL DISTRICT,New Jersey,Stone Harbor School District,3415810,NJ-095060
STOW CREEK TOWNSHIP SCHOOL DISTRICT,New Jersey,STOW CREEK TOWNSHIP SCHOOL DISTRICT,3415840,NJ-115070
STRATFORD SCHOOL DISTRICT,New Jersey,Stratford School District,3415870,NJ-075080
SUMMIT PUBLIC SCHOOL DISTRICT,New Jersey,Summit Public School District,3415900,NJ-395090
SUSSEX COUNTY TECHNICAL SCHOOL DISTRICT,New Jersey,Sussex County Technical School District,3415930,NJ-375110
SUSSEX COUNTY TECHNOLOGY CHARTER SCHOOL,New Jersey,Sussex County Technology Charter School,3400055,NJ-807850
SUSSEX-WANTAGE REGIONAL SCHOOL DISTRICT,New Jersey,Sussex-Wantage Regional School District,3415960,NJ-375100
SWEDESBORO-WOOLWICH SCHOOL DISTRICT,New Jersey,SWEDESBORO-WOOLWICH SCHOOL DISTRICT,3415990,NJ-155120
TABERNACLE TOWNSHIP SCHOOL DISTRICT,New Jersey,Tabernacle Township School District,3416020,NJ-055130
TEAM ACADEMY CHARTER SCHOOL,New Jersey,TEAM Academy Charter School,3400070,NJ-807325
TEANECK COMMUNITY CHARTER SCHOOL,New Jersey,Teaneck Community Charter School,3400015,NJ-807890
TEANECK SCHOOL DISTRICT,New Jersey,Teaneck School District,3416080,NJ-035150
TENAFLY PUBLIC SCHOOL DISTRICT,New Jersey,TENAFLY PUBLIC SCHOOL DISTRICT,3416110,NJ-035160
TEWKSBURY TOWNSHIP SCHOOL DISTRICT,New Jersey,Tewksbury Township School District,3416170,NJ-195180
THE BARACK OBAMA GREEN CHARTER HIGH SCHOOL DISTRICT,New Jersey,The Barack Obama Green Charter High School,3400740,NJ-806033
THE ETHICAL COMMUNITY CHARTER SCHOOL,New Jersey,The Ethical Community Charter School,3400727,NJ-806030
THE KINGDOM CHARTER SCHOOL OF LEADERSHIP,New Jersey,The Kingdom Charter School of Leadership,3400752,NJ-806067
THE LEARNING COMMUNITY CHARTER SCHOOL,New Jersey,The Learning Community Charter School,3400035,NJ-807115
THE LOWER ALLOWAYS CREEK SCHOOL DISTRICT,New Jersey,THE LOWER ALLOWAYS CREEK SCHOOL DISTRICT,3409030,NJ-332800
THE QUEEN CITY ACADEMY CHARTER SCHOOL DISTRICT,New Jersey,The Queen City Academy Charter School,3400061,NJ-807600
THE VILLAGE CHARTER SCHOOL,New Jersey,The Village Charter School,3400046,NJ-808140
THOMAS EDISON ENERGYSMART CHARTER SCHOOL,New Jersey,Thomas Edison EnergySmart Charter School,3400746,NJ-806081
TINTON FALLS SCHOOL DISTRICT,New Jersey,Tinton Falls School District,3416200,NJ-255185
TOMS RIVER REGIONAL SCHOOL DISTRICT,New Jersey,Toms River Regional School District,3416230,NJ-295190
TOTOWA PUBLIC SCHOOL DISTRICT,New Jersey,Totowa Public School District,3416260,NJ-315200
TOWNSHIP OF FRANKLIN SCHOOL DISTRICT,New Jersey,Township of Franklin School District,3405430,NJ-151590
TOWNSHIP OF OCEAN SCHOOL DISTRICT,New Jersey,Township of Ocean School District,3412060,NJ-253810
TOWNSHIP OF UNION SCHOOL DISTRICT,New Jersey,Township of Union School District,3416500,NJ-395290
TRENTON PUBLIC SCHOOL DISTRICT,New Jersey,TRENTON PUBLIC SCHOOL DISTRICT,3416290,NJ-215210
TRENTON STEM-TO-CIVICS CHARTER SCHOOL,NEW JERSEY,Trenton Stem-to-Civics Charter School,3400770,NJ-806183
TUCKERTON BOROUGH SCHOOL DISTRICT,New Jersey,Tuckerton Borough School District,3416320,NJ-295220
UNION BEACH PUBLIC SCHOOL DISTRICT,New Jersey,Union Beach Public School District,3416350,NJ-255230
UNION CITY SCHOOL DISTRICT,New Jersey,Union City School District,3416380,NJ-175240
UNION COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,Union County Educational Services Commission,3416400,NJ-395245
UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,New Jersey,Union County TEAMS Charter School-High School/College LA,3400083,NJ-808010
UNION COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT,New Jersey,Union County Vocational-Technical School District,3418040,NJ-395260
UNION TOWNSHIP SCHOOL DISTRICT,New Jersey,Union Township School District,3416440,NJ-195270
UNITY CHARTER SCHOOL,New Jersey,Unity Charter School,3400051,NJ-808050
UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,New Jersey,University Academy Charter High School,3400073,NJ-808060
UNIVERSITY HEIGHTS CHARTER SCHOOL,New Jersey,University Heights Charter School,3400084,NJ-808065
UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,Upper Deerfield Township School District,3416530,NJ-115300
UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,New Jersey,UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,3416560,NJ-255310
UPPER PITTSGROVE TWP SCHOOL DISTRICT,New Jersey,UPPER PITTSGROVE TWP Scool District,3416590,NJ-335320
UPPER SADDLE RIVER SCHOOL DISTRICT,New Jersey,UPPER SADDLE RIVER SCHOOL DISTRICT,3416620,NJ-035330
UPPER TOWNSHIP SCHOOL DISTRICT,New Jersey,Upper Township School District,3416650,NJ-095340
VENTNOR CITY SCHOOL DISTRICT,New Jersey,Ventnor City School District,3416680,NJ-015350
VERNON TOWNSHIP SCHOOL DISTRICT,New Jersey,Vernon Township School District,3416710,NJ-375360
VERONA PUBLIC SCHOOL DISTRICT,New Jersey,Verona Public School District,3416740,NJ-135370
VINELAND PUBLIC CHARTER SCHOOL,New Jersey,Vineland Public Charter School,3400729,NJ-806028
VINELAND PUBLIC SCHOOL DISTRICT,New Jersey,Vineland Public School District,3416800,NJ-115390
VOORHEES TOWNSHIP SCHOOL DISTRICT,New Jersey,VOORHEES TOWNSHIP SCHOOL DISTRICT,3416830,NJ-075400
WALDWICK SCHOOL DISTRICT,New Jersey,Waldwick School District,3416860,NJ-035410
WALL TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Wall Township Public School District,3416890,NJ-255420
WALLINGTON BORO SCHOOL DISTRICT,New Jersey,Wallington Boro School District,3416920,NJ-035430
WALLKILL VALLEY REGIONAL HIGH SCHOOL,New Jersey,WALLKILL VALLEY REGIONAL HIGH SCHOOL DISTRICT,3416870,NJ-375435
WANAQUE SCHOOL DISTRICT,New Jersey,Wanaque School District,3416950,NJ-315440
WARREN COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,Warren County Special Services School District,3480362,NJ-415450
WARREN COUNTY VOCATIONAL TECHNICAL SCHOOL,New Jersey,WARREN COUNTY TECHNICAL SCHOOL DISTRICT,3417920,NJ-415460
WARREN HILLS REGIONAL SCHOOL DISTRICT,New Jersey,Warren Hills Regional School District,3416970,NJ-415465
WARREN TOWNSHIP SCHOOL DISTRICT,New Jersey,Warren Township School District,3416980,NJ-355470
WASHINGTON BOROUGH SCHOOL DISTRICT,New Jersey,WASHINGTON BOROUGH SCHOOL DISTRICT,3417010,NJ-415480
WASHINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Washington Township School District,3417160,NJ-415530
WASHINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Washington Township School District,3417130,NJ-275520
WASHINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Washington Township School District,3417070,NJ-155500
WATCHUNG BOROUGH PUBLIC SCHOOL DISTRICT,New Jersey,Watchung Borough Public School District,3417190,NJ-355540
WATCHUNG HILLS REGIONAL HIGH SCHOOL DISTRICT,New Jersey,WATCHUNG HILLS REGIONAL HIGH SCHOOL DISTRICT,3417220,NJ-355550
WATERFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,WATERFORD TOWNSHIP SCHOOL DISTRICT,3417250,NJ-075560
WAYNE TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Wayne Township Public School District,3417280,NJ-315570
WEEHAWKEN PUBLIC SCHOOL DISTRICT,New Jersey,Weehawken Public School District,3417310,NJ-175580
WENONAH  BORO SCHOOL DISTRICT,New Jersey,Wenonah  Boro School District,3417340,NJ-155590
WEST CAPE MAY ELEMENTARY SCHOOL DISTRICT,New Jersey,WEST CAPE MAY ELEMENTARY SCHOOL DISTRICT,3417400,NJ-095610
WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,WEST DEPTFORD TOWNSHIP SCHOOL DISTRICT,3417430,NJ-155620
WEST ESSEX REGIONAL SCHOOL DISTRICT,New Jersey,West Essex Regional School District,3417460,NJ-135630
WEST LONG BRANCH SCHOOL DISTRICT,New Jersey,West Long Branch School District,3417490,NJ-255640
WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,West Milford Township Public School District,3417520,NJ-315650
WEST MORRIS REGIONAL HIGH SCHOOL DISTRICT,New Jersey,WEST MORRIS REGIONAL HIGH SCHOOL DISTRICT,3417550,NJ-275660
WEST NEW YORK BOARD OF EDUCATION,New Jersey,WEST NEW YORK BOARD OF EDUCATION,3417580,NJ-175670
WEST ORANGE PUBLIC SCHOOLS,New Jersey,West Orange Public Schools,3417610,NJ-135680
WEST WINDSOR-PLAINSBORO REGIONAL SCHOOL DISTRICT,New Jersey,West Windsor-Plainsboro Regional School District,3417700,NJ-215715
WESTAMPTON TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Westampton Township Public School District,3417730,NJ-055720
WESTFIELD PUBLIC SCHOOL DISTRICT,New Jersey,Westfield Public School District,3417760,NJ-395730
WESTVILLE BORO PUBLIC SCHOOL DISTRICT,New Jersey,Westville Boro Public School District,3417790,NJ-155740
WESTWOOD REGIONAL SCHOOL DISTRICT,New Jersey,WESTWOOD REGIONAL SCHOOL DISTRICT,3417820,NJ-035755
WEYMOUTH TOWNSHIP SCHOOL DISTRICT,New Jersey,Weymouth Township School District,3417850,NJ-015760
WHARTON BOROUGH SCHOOL DISTRICT,New Jersey,WHARTON BOROUGH SCHOOL DISTRICT,3417880,NJ-275770
WHITE TOWNSHIP CONSOLIDATED SCHOOL DISTRICT,New Jersey,WHITE TOWNSHIP CONSOLIDATED SCHOOL DISTRICT,3417910,NJ-415780
WILDWOOD CITY SCHOOL DISTRICT,New Jersey,WILDWOOD CITY SCHOOL DISTRICT,3417940,NJ-095790
WILDWOOD CREST BOROUGH SCHOOL DISTRICT,New Jersey,WILDWOOD CREST BOROUGH SCHOOL DISTRICT,3417970,NJ-095800
WILLINGBORO PUBLIC SCHOOL DISTRICT,New Jersey,WILLINGBORO PUBLIC SCHOOL DISTRICT,3418000,NJ-055805
WINFIELD TOWNSHIP,New Jersey,Winfield Township,3418030,NJ-395810
WINSLOW TOWNSHIP SCHOOL DISTRICT,New Jersey,Winslow Township School District,3418060,NJ-075820
WOOD-RIDGE SCHOOL DISTRICT,New Jersey,Wood-Ridge School District,3418300,NJ-035830
WOODBINE SCHOOL DISTRICT,New Jersey,Woodbine School District,3418090,NJ-095840
WOODBRIDGE TOWNSHIP SCHOOL DISTRICT,New Jersey,Woodbridge Township School District,3418120,NJ-235850
WOODBURY CITY PUBLIC SCHOOL DISTRICT,New Jersey,Woodbury City Public School District,3418150,NJ-155860
WOODBURY HEIGHTS PUBLIC SCHOOL DISTRICT,New Jersey,Woodbury Heights Public School District,3418180,NJ-155870
WOODCLIFF LAKE SCHOOL DISTRICT,New Jersey,Woodcliff Lake School District,3418210,NJ-035880
WOODLAND PARK SCHOOL DISTRICT,New Jersey,Woodland Park School District,3417640,NJ-315690
WOODLAND TOWNSHIP SCHOOL DISTRICT,New Jersey,WOODLAND TOWNSHIP BOARD OF EDUCATION,3418240,NJ-055890
WOODLYNNE SCHOOL DISTRICT,New Jersey,Woodlynne School District,3418270,NJ-075900
WOODSTOWN-PILESGROVE REGIONAL SCHOOL DISTRICT,New Jersey,Woodstown-Pilesgrove Regional School District,3418330,NJ-335910
WYCKOFF TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Wyckoff Township Public School District,3418360,NJ-035920


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Local Education Agency (School District) Universe Survey" 2016-17 v.2a  2019-20 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
